<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.05	21:33:00	1.07834	1.07834	1.07828	1.07834	24	0	0
2023.12.05	21:34:00	1.07835	1.07841	1.07828	1.07833	30	0	0
2023.12.05	21:35:00	1.07832	1.07840	1.07832	1.07839	22	0	0
2023.12.05	21:36:00	1.07839	1.07839	1.07820	1.07822	39	0	0
2023.12.05	21:37:00	1.07823	1.07827	1.07818	1.07818	28	0	0
2023.12.05	21:38:00	1.07817	1.07823	1.07810	1.07818	28	0	0
2023.12.05	21:39:00	1.07814	1.07819	1.07810	1.07813	34	0	0
2023.12.05	21:40:00	1.07815	1.07824	1.07813	1.07824	19	0	0
2023.12.05	21:41:00	1.07826	1.07832	1.07823	1.07828	35	0	0
2023.12.05	21:42:00	1.07830	1.07835	1.07823	1.07834	32	0	0
2023.12.05	21:43:00	1.07832	1.07834	1.07825	1.07832	31	0	0
2023.12.05	21:44:00	1.07830	1.07831	1.07823	1.07823	35	0	0
2023.12.05	21:45:00	1.07820	1.07829	1.07818	1.07829	21	0	0
2023.12.05	21:46:00	1.07828	1.07832	1.07822	1.07830	34	0	0
2023.12.05	21:47:00	1.07828	1.07838	1.07824	1.07824	26	0	0
2023.12.05	21:48:00	1.07822	1.07834	1.07822	1.07824	23	0	0
2023.12.05	21:49:00	1.07824	1.07829	1.07819	1.07824	35	0	0
2023.12.05	21:50:00	1.07823	1.07829	1.07820	1.07829	33	0	0
2023.12.05	21:51:00	1.07830	1.07849	1.07830	1.07849	35	0	0
2023.12.05	21:52:00	1.07845	1.07859	1.07843	1.07859	27	0	0
2023.12.05	21:53:00	1.07858	1.07860	1.07854	1.07858	22	0	0
2023.12.05	21:54:00	1.07856	1.07856	1.07841	1.07842	26	0	0
2023.12.05	21:55:00	1.07843	1.07845	1.07839	1.07841	36	0	0
2023.12.05	21:56:00	1.07841	1.07849	1.07838	1.07844	27	0	0
2023.12.05	21:57:00	1.07843	1.07844	1.07832	1.07838	47	0	0
2023.12.05	21:58:00	1.07837	1.07849	1.07837	1.07846	25	0	0
2023.12.05	21:59:00	1.07848	1.07849	1.07836	1.07839	42	0	0
2023.12.05	22:00:00	1.07838	1.07840	1.07829	1.07837	32	0	0
2023.12.05	22:01:00	1.07838	1.07838	1.07827	1.07832	34	0	0
2023.12.05	22:02:00	1.07833	1.07850	1.07829	1.07845	34	0	0
2023.12.05	22:03:00	1.07844	1.07845	1.07839	1.07843	26	0	0
2023.12.05	22:04:00	1.07842	1.07843	1.07828	1.07830	36	0	0
2023.12.05	22:05:00	1.07833	1.07833	1.07828	1.07831	37	0	0
2023.12.05	22:06:00	1.07832	1.07832	1.07822	1.07825	27	0	0
2023.12.05	22:07:00	1.07824	1.07833	1.07817	1.07832	25	0	0
2023.12.05	22:08:00	1.07833	1.07839	1.07830	1.07839	15	0	0
2023.12.05	22:09:00	1.07842	1.07855	1.07842	1.07855	21	0	0
2023.12.05	22:10:00	1.07856	1.07868	1.07856	1.07868	19	0	0
2023.12.05	22:11:00	1.07869	1.07874	1.07868	1.07873	29	0	0
2023.12.05	22:12:00	1.07872	1.07873	1.07852	1.07870	42	0	0
2023.12.05	22:13:00	1.07873	1.07879	1.07870	1.07876	31	0	0
2023.12.05	22:14:00	1.07875	1.07885	1.07875	1.07884	35	0	0
2023.12.05	22:15:00	1.07884	1.07886	1.07879	1.07884	32	0	0
2023.12.05	22:16:00	1.07886	1.07895	1.07884	1.07889	29	0	0
2023.12.05	22:17:00	1.07889	1.07894	1.07888	1.07893	28	0	0
2023.12.05	22:18:00	1.07892	1.07906	1.07888	1.07906	27	0	0
2023.12.05	22:19:00	1.07903	1.07910	1.07896	1.07902	41	0	0
2023.12.05	22:20:00	1.07904	1.07919	1.07902	1.07918	39	0	0
2023.12.05	22:21:00	1.07919	1.07924	1.07915	1.07919	17	0	0
2023.12.05	22:22:00	1.07919	1.07924	1.07916	1.07917	42	0	0
